Time	Prevalence	Type
82.2603551	0	0
79.5827017	0	0
104.2179616	0	0
79.91205597	0	0
100.7812224	0	0
95.17463326	0	0
88.30466962	0	0
112.3472201	0	0
92.21296893	0	0
92.94867043	0	0
89.02690978	0	0
84.0026669	0	0
84.90228306	0	0
96.973013	0	0
91.0242745	0	0
87.1287527	0	0
92.83245567	0	0
93.32057443	0	0
88.28541333	0	0
93.82172101	0	0
79.88784957	0	0
89.00476651	0	0
90.5976795	0	0
89.20797423	0	0
81.92288194	0	0
99.6518459	0	0
103.9913746	0	0
103.7818833	0	0
89.71700726	0	0
84.76860707	0	0
79.96023137	0	0
92.11761254	0	0
91.40383808	0	0
87.05662309	0	0
78.4252771	0	0
90.3012492	0	0
93.23158399	0	0
81.53007321	0	0
105.5317925	0	0
87.58436732	0	0
89.02074936	0	0
71.77871987	0	0
91.40683494	0	0
89.83343408	0	0
81.85395949	0	0
86.95382918	0	0
89.82920984	0	0
102.8835588	0	0
71.81094799	0	0
97.20211135	0	0
88.82764868	0	0
98.6679892	0	0
82.97298733	0	0
86.49874224	0	0
106.5419668	0	0
93.9733463	0	0
96.21439036	0	0
90.93416518	0	0
84.26512809	0	0
71.13026702	0	0
81.54002369	0	0
81.57525657	0	0
93.83930781	0	0
96.0277608	0	0
79.13050908	0	0
91.09950577	0	0
85.48503733	0	0
95.96144009	0	0
90.92050502	0	0
93.74942176	0	0
97.53608272	0	0
97.28989592	0	0
98.90519241	0	0
91.0459004	0	0
94.31377444	0	0
78.34632027	0	0
85.0848616	0	0
87.75500368	0	0
84.72494765	0	0
86.7937188	0	0
94.45278442	0	0
87.86112875	0	0
103.6001329	0	0
85.90883373	0	0
100.8562932	0	0
90.90653591	0	0
82.19797733	0	0
97.58530283	0	0
89.52025847	0	0
88.11919806	0	0
80.38748377	0	0
84.40415519	0	0
95.57132758	0	0
95.48829073	0	0
83.94250038	0	0
97.64064346	0	0
99.88443789	0	0
89.55455347	0	0
84.74168218	0	0
85.66244361	0	0
82.87462743	0.1	0
78.45545805	0.1	0
74.33397103	0.1	0
91.34604073	0.1	0
66.24087401	0.1	0
68.13548567	0.1	0
74.45677404	0.1	0
72.40469895	0.1	0
82.9973705	0.1	0
74.55513557	0.1	0
54.74089921	0.1	0
69.81657467	0.1	0
71.04358175	0.1	0
63.78255731	0.1	0
70.46648352	0.1	0
74.5406378	0.1	0
46.78619858	0.1	0
57.90108636	0.1	0
71.40456186	0.1	0
76.26076696	0.1	0
75.66596779	0.1	0
69.26311924	0.1	0
78.33344875	0.1	0
93.47624693	0.1	0
68.25629459	0.1	0
67.2706231	0.1	0
65.66636588	0.1	0
70.45151825	0.1	0
